0	236544	99328		
1	172032	118784		
2	64512	118784		
3	130048	118784		
4	126976	118784	134656	116736
5	125952	118784	122880	118682
6	126976	118784	117453	118682
7	118784	118784	123290	118682
8	128000	117760	122778	118682
9	116736	118784	120627	118682
10	118784	118784	119706	118682
11	117760	118784	119603	118682
12	122880	118784	119910	118682
13	124928	118784	119398	118784
14	105472	118784	118886	118784
15	116736	118784	118170	118784
16	125952	118784	118477	118784
17	121856	118784	118886	118784
18	122880	118784	118477	118784
19	111616	118784	120422	118784
20	111616	118784	120013	118784
21	120832	118784	118989	118784
22	126976	118784	119091	118784
23	120832	118784	118989	118784
24	124928	118784	120730	118784
25	112640	118784	121549	118784
26	115712	118784	118886	118682
27	122880	118784	118272	118682
28	121856	118784	118579	118682
29	129024	118784	118272	118682
30	119808	118784	119706	118682
31	94208	117760	120525	118682
32	120832	118784	120320	118682
33	123904	118784	120115	118682
34	121856	118784	117862	118682
35	126976	118784	117453	118682
36	123904	118784	120320	118784
37	120832	118784	120627	118784
38	119808	118784	120525	118784
39	106496	118784	120525	118784
40	115712	118784	118886	118784
41	122880	118784	117862	118784
42	123904	118784	118272	118784
43	122880	118784	118682	118784
44	121856	118784	120320	118784
45	110592	118784	121139	118784
46	113664	118784	120832	118784
47	124928	118784	119910	118784
48	123904	118784	118067	118682
49	122880	118784	117965	118682
50	123904	118784	119603	118682
51	119808	118784	120627	118682
52	114688	118784	120832	118682
53	104448	117760	120525	118682
54	120832	118784	119194	118682
55	126976	118784	118170	118682
56	123904	118784	118682	118682
57	126976	118784	119398	118682
58	120832	118784	121549	118784
59	109568	118784	121549	118784
60	113664	118784	120730	118784
61	124928	118784	119501	118784
62	121856	118784	118886	118784
63	125952	118784	119501	118784
64	120832	118784	121037	118784
65	118784	118784	121037	118784
66	111616	118784	120422	118784
67	120832	118784	120218	118784
68	126976	118784	119808	118784
69	124928	118784	120013	118784
70	113664	118784	119808	118682
71	118784	118784	119603	118579
72	119808	118784	119603	118579
73	121856	118784	119603	118579
74	122880	118784	119398	118579
75	116736	117760	119603	118579
76	109568	117760	119398	118579
77	120832	118784	118170	118579
78	126976	118784	118272	118579
79	122880	118784	118170	118579
80	115712	118784	118989	118682
81	116736	118784	120320	118784
82	107520	118784	119603	118784
83	122880	118784	117453	118784
84	121856	118784	116531	118784
85	124928	118784	117658	118784
86	122880	118784	118682	118784
87	113664	118784	120422	118784
88	105472	118784	120320	118784
89	113664	118784	120320	118784
90	126976	118784	119194	118784
91	126976	118784	117965	118784
92	124928	118784	116941	118784
93	121856	118784	119194	118682
94	121856	118784	120525	118682
95	113664	118784		
96	110592	118784		
97	103424	118784		
98	128000	117760		
99	126976	118784		
