0 236544 99328
1 172032 118784
2 64512 118784
3 130048 118784
4 126976 118784
5 125952 118784
6 126976 118784
7 118784 118784
8 128000 117760
9 116736 118784
10 118784 118784
11 117760 118784
12 122880 118784
13 124928 118784
14 105472 118784
15 116736 118784
16 125952 118784
17 121856 118784
18 122880 118784
19 111616 118784
20 111616 118784
21 120832 118784
22 126976 118784
23 120832 118784
24 124928 118784
25 112640 118784
26 115712 118784
27 122880 118784
28 121856 118784
29 129024 118784
30 119808 118784
31 94208 117760
32 120832 118784
33 123904 118784
34 121856 118784
35 126976 118784
36 123904 118784
37 120832 118784
38 119808 118784
39 106496 118784
40 115712 118784
41 122880 118784
42 123904 118784
43 122880 118784
44 121856 118784
45 110592 118784
46 113664 118784
47 124928 118784
48 123904 118784
49 122880 118784
50 123904 118784
51 119808 118784
52 114688 118784
53 104448 117760
54 120832 118784
55 126976 118784
56 123904 118784
57 126976 118784
58 120832 118784
59 109568 118784
60 113664 118784
61 124928 118784
62 121856 118784
63 125952 118784
64 120832 118784
65 118784 118784
66 111616 118784
67 120832 118784
68 126976 118784
69 124928 118784
70 113664 118784
71 118784 118784
72 119808 118784
73 121856 118784
74 122880 118784
75 116736 117760
76 109568 117760
77 120832 118784
78 126976 118784
79 122880 118784
80 115712 118784
81 116736 118784
82 107520 118784
83 122880 118784
84 121856 118784
85 124928 118784
86 122880 118784
87 113664 118784
88 105472 118784
89 113664 118784
90 126976 118784
91 126976 118784
92 124928 118784
93 121856 118784
94 121856 118784
95 113664 118784
96 110592 118784
97 103424 118784
98 128000 117760
99 126976 118784
